 
um	n	k	   
0.206667	1.317272	2.585617	   ;
0.207358	1.322067	2.597646	   ;
0.208054	1.326521	2.610757	   ;
0.208754	1.330713	2.624961	   ;
0.209459	1.33473	2.640267	   ;
0.210169	1.338659	2.656704	   ;
0.210884	1.342582	2.674292	   ;
0.211604	1.346559	2.693061	   ;
0.212329	1.350684	2.713054	   ;
0.213058	1.355042	2.734285	   ;
0.213793	1.359736	2.7568	   ;
0.214533	1.364874	2.780653	  ; 
0.215278	1.370567	2.805827	   ;
0.216028	1.376943	2.832351	   ;
0.216783	1.384116	2.860227	   ;
0.217544	1.392195	2.889421	   ;
0.21831	1.401277	2.919958	   ;
0.219081	1.411468	2.951796	   ;
0.219858	1.422844	2.984938	   ;
0.220641	1.43548	3.019436	   ;
0.221429	1.449444	3.055301	   ;
0.222222	1.464964	3.092694	   ;
0.223022	1.482108	3.131639	   ;
0.223827	1.501147	3.172296	   ;
0.224638	1.522482	3.214759	   ;
0.225455	1.546484	3.259044	   ;
0.226277	1.573684	3.305189	   ;
0.227106	1.604609	3.352949	   ;
0.227941	1.639809	3.401908	   ;
0.228782	1.679929	3.451803	   ;
0.22963	1.725456	3.501804	   ;
0.230483	1.77667	3.551147	   ;
0.231343	1.833883	3.598969	   ;
0.23221	1.896942	3.644195	   ;
0.233083	1.965812	3.685822	   ;
0.233962	2.039846	3.722924	   ;
0.234848	2.118372	3.754566	   ;
0.235741	2.200638	3.78015	   ;
0.236641	2.285553	3.799018	   ;
0.237548	2.372067	3.811058	   ;
0.238462	2.459032	3.816204	   ;
0.239382	2.545489	3.814689	   ;
0.24031	2.630406	3.806931	   ;
0.241245	2.71301	3.793538	   ;
0.242188	2.792757	3.775303	   ;
0.243137	2.869274	3.753039	   ;
0.244094	2.942395	3.727527	   ;
0.245059	3.012195	3.69955	   ;
0.246032	3.078938	3.669749	   ;
0.247012	3.142908	3.63859	   ;
0.248	3.204485	3.606375	   ;
0.248996	3.263993	3.573338	 ;  
0.25	3.321778	3.539695	   ;
0.251012	3.378176	3.505633	;   
0.252033	3.433501	3.471292	 ;  
0.253061	3.488543	3.436908	  ; 
0.254098	3.544173	3.402237	   ;
0.255144	3.601424	3.366682	   ;
0.256198	3.660902	3.328889	   ;
0.257261	3.722838	3.287206	   ;
0.258333	3.786638	3.23977	   ;
0.259414	3.850922	3.184896	   ;
0.260504	3.913525	3.121383	   ;
0.261603	3.971858	3.048951	   ;
0.262712	4.02323	2.968182	   ;
0.26383	4.065158	2.880682	   ;
0.264957	4.095821	2.788859	   ;
0.266094	4.114574	2.695684	   ;
0.267241	4.121349	2.603879	   ;
0.268398	4.117393	2.516193	   ;
0.269565	4.104259	2.434389	   ;
0.270742	4.083881	2.359766	   ;
0.27193	4.058383	2.292877	   ;
0.273128	4.029555	2.233824	   ;
0.274336	3.998835	2.182038	   ;
0.275556	3.967406	2.136948	   ;
0.276786	3.936178	2.097807	   ;
0.278027	3.90569	2.063925	   ;
0.279279	3.876253	2.034741	   ;
0.280543	3.848183	2.009516	   ;
0.281818	3.821549	1.987897	   ;
0.283105	3.796395	1.969325	   ;
0.284404	3.772772	1.953595	   ;
0.285714	3.750681	1.940344	   ;
0.287037	3.730215	1.929396	   ;
0.288372	3.711239	1.920473	   ;
0.28972	3.693741	1.913376	   ;
0.29108	3.677739	1.908016	   ;
0.292453	3.663239	1.904286	   ;
0.293839	3.65018	1.902126	   ;
0.295238	3.638623	1.901269	   ;
0.296651	3.628426	1.901804	   ;
0.298077	3.61975	1.903696	   ;
0.299517	3.612501	1.906721	   ;
0.300971	3.606859	1.911023	   ;
0.302439	3.602637	1.91656	   ;
0.303922	3.600044	1.923249	   ;
0.305419	3.599051	1.931033	   ;
0.306931	3.599798	1.940055	   ;
0.308458	3.602271	1.950304	   ;
0.31	3.606615	1.961782	   ;
0.311558	3.612927	1.974546	;   
0.313131	3.62122	1.988653	  ; 
0.314721	3.631672	2.004479	  ; 
0.316327	3.644446	2.022327	   ;
0.317949	3.660002	2.042771	   ;
0.319588	3.679176	2.066774	   ;
0.321244	3.703549	2.095169	   ;
0.322917	3.73574	2.12875	   ;
0.324607	3.780194	2.167283	   ;
0.326316	3.842344	2.207816	   ;
0.328042	3.927482	2.243567	   ;
0.329787	4.037049	2.263106	   ;
0.331551	4.165965	2.253487	   ;
0.333333	4.301065	2.205109	   ;
0.335135	4.424788	2.116262	   ;
0.336957	4.520744	1.995101	   ;
